Age,Gender,Education Level,Job Title,Years of Experience,Salary,Age_Experience_Ratio,Experience_Squared,Age_Squared,Age_Experience
29.0,Female,Bachelor's,Junior Marketing Specialist,2.0,40000.0,9.666666666666666,4.0,841.0,58.0
35.0,Male,Bachelor's,Senior Business Development Manager,7.0,90000.0,4.375,49.0,1225.0,245.0
45.0,Female,Master's,Senior HR Manager,14.0,140000.0,3.0,196.0,2025.0,630.0
33.0,Male,Bachelor's,Junior Financial Analyst,4.0,60000.0,6.6,16.0,1089.0,132.0
40.0,Female,Bachelor's,Senior Marketing Manager,12.0,130000.0,3.076923076923077,144.0,1600.0,480.0
44.0,Male,PhD,Senior Data Scientist,16.0,160000.0,2.588235294117647,256.0,1936.0,704.0
30.0,Female,Bachelor's,Junior Operations Coordinator,2.0,40000.0,10.0,4.0,900.0,60.0
37.0,Male,Bachelor's,Senior Marketing Analyst,9.0,100000.0,3.7,81.0,1369.0,333.0
48.0,Female,Master's,Director of HR,20.0,180000.0,2.2857142857142856,400.0,2304.0,960.0
31.0,Male,Bachelor's,Junior Project Manager,3.0,55000.0,7.75,9.0,961.0,93.0
38.0,Female,Bachelor's,Senior Operations Coordinator,9.0,120000.0,3.8,81.0,1444.0,342.0
33.0,Female,Bachelor's,Junior Marketing Manager,5.0,70000.0,5.5,25.0,1089.0,165.0
36.0,Male,Bachelor's,Senior Business Analyst,8.0,95000.0,4.0,64.0,1296.0,288.0
42.0,Female,Bachelor's,Senior Project Manager,12.0,120000.0,3.230769230769231,144.0,1764.0,504.0
34.0,Female,Master's,Senior Financial Advisor,6.0,80000.0,4.857142857142857,36.0,1156.0,204.0
30.0,Female,Bachelor's,Junior HR Coordinator,2.0,40000.0,10.0,4.0,900.0,60.0
37.0,Male,Bachelor's,Senior Business Development Manager,10.0,120000.0,3.3636363636363638,100.0,1369.0,370.0
45.0,Female,Master's,Senior Marketing Manager,16.0,160000.0,2.6470588235294117,256.0,2025.0,720.0
32.0,Male,Bachelor's,Junior Financial Advisor,4.0,65000.0,6.4,16.0,1024.0,128.0
39.0,Female,Bachelor's,Senior Project Manager,12.0,130000.0,3.0,144.0,1521.0,468.0
47.0,Male,PhD,Director of Engineering,20.0,180000.0,2.238095238095238,400.0,2209.0,940.0
29.0,Female,Bachelor's,Junior Marketing Analyst,2.0,40000.0,9.666666666666666,4.0,841.0,58.0
36.0,Male,Bachelor's,Senior Operations Manager,9.0,100000.0,3.6,81.0,1296.0,324.0
43.0,Female,PhD,Senior Data Scientist,15.0,150000.0,2.6875,225.0,1849.0,645.0
32.0,Male,Bachelor's,Junior Marketing Coordinator,3.0,55000.0,8.0,9.0,1024.0,96.0
48.0,Male,Master's,Director of Marketing,21.0,180000.0,2.1818181818181817,441.0,2304.0,1008.0
31.0,Female,Bachelor's,Junior Business Development Associate,3.0,50000.0,7.75,9.0,961.0,93.0
40.0,Male,Bachelor's,Senior Financial Analyst,12.0,130000.0,3.076923076923077,144.0,1600.0,480.0
45.0,Female,PhD,Senior UX Designer,16.0,160000.0,2.6470588235294117,256.0,2025.0,720.0
33.0,Male,Bachelor's,Junior Product Manager,4.0,60000.0,6.6,16.0,1089.0,132.0
36.0,Female,Bachelor's,Senior Marketing Manager,8.0,95000.0,4.0,64.0,1296.0,288.0
47.0,Male,Master's,Director of Operations,19.0,170000.0,2.35,361.0,2209.0,893.0
29.0,Female,Bachelor's,Junior Project Manager,2.0,40000.0,9.666666666666666,4.0,841.0,58.0
34.0,Male,Bachelor's,Senior Operations Coordinator,7.0,90000.0,4.25,49.0,1156.0,238.0
44.0,Female,PhD,Senior Business Analyst,15.0,150000.0,2.75,225.0,1936.0,660.0
33.0,Male,Bachelor's,Junior Marketing Specialist,5.0,70000.0,5.5,25.0,1089.0,165.0
35.0,Female,Bachelor's,Senior Financial Manager,8.0,90000.0,3.888888888888889,64.0,1225.0,280.0
43.0,Male,Master's,Director of Marketing,18.0,170000.0,2.263157894736842,324.0,1849.0,774.0
31.0,Female,Bachelor's,Junior Financial Analyst,3.0,50000.0,7.75,9.0,961.0,93.0
41.0,Male,Bachelor's,Senior Product Manager,14.0,150000.0,2.7333333333333334,196.0,1681.0,574.0
44.0,Female,PhD,Senior Data Engineer,16.0,160000.0,2.588235294117647,256.0,1936.0,704.0
45.0,Male,Master's,Director of Engineering,19.0,180000.0,2.25,361.0,2025.0,855.0
28.0,Female,Bachelor's,Junior Operations Manager,1.0,35000.0,14.0,1.0,784.0,28.0
36.0,Male,Bachelor's,Senior Business Development Manager,8.0,110000.0,4.0,64.0,1296.0,288.0
44.0,Female,PhD,Senior Data Scientist,16.0,160000.0,2.588235294117647,256.0,1936.0,704.0
31.0,Male,Bachelor's,Junior Marketing Coordinator,3.0,55000.0,7.75,9.0,961.0,93.0
43.0,Male,Master's,Director of Operations,19.0,170000.0,2.15,361.0,1849.0,817.0
